"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1250","#Bahubali wat a cinematic treat.  U are a Legend n Ure story telling transpoed me into another world!ÔòÄ http://t.co/cOCYLFxmYA j8p",FALSE,0,NA,2015-07-25 20:51:14,FALSE,NA,"625045666364919809",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Acantiming70",1,FALSE,FALSE,NA,NA
"1251","Watched #Bahubali really awesome in d second half.. It's #graphics are better than #hollywood. battle scene are just wow. #Rajamouli",FALSE,0,NA,2015-07-25 20:46:14,FALSE,NA,"625044406849044480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vrajocrat",1,FALSE,FALSE,NA,NA
"1252","@ssrajamouli @PrabhasRaju #Bahubali my colleagues here in Houston have already went ahead and watched this spectacle...take a bow!",FALSE,9,"vishak2000",2015-07-25 20:33:44,FALSE,"625041015007653888","625041261842444288","69141862","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vishak2000",7,FALSE,FALSE,NA,NA
"1253","#Bahubali @ssrajamouli @PrabhasRaju Bahubali is so epic that it's easy to convince any Americans to watch Bahubali in comparison to 300",FALSE,2,NA,2015-07-25 20:32:45,FALSE,NA,"625041015007653888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vishak2000",0,FALSE,FALSE,NA,NA
"1254","#Bahubali wat a cinematic treat. @ssrajamouli U are a Legend n Ure story telling transported me into another world!Ì†ΩÌ∏Ä https://t.co/pLLte3TXMe",FALSE,477,NA,2015-07-25 20:25:31,FALSE,NA,"625039194293796864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheShilpaShetty",255,FALSE,FALSE,NA,NA
"1255","@Komall the genre is called ""fantasy""..what do you expect?? Ì†ΩÌ∏Å #Bahubali",FALSE,0,"Komall",2015-07-25 20:25:04,FALSE,"625011468132442112","625039081496379392","18448598","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s_duvvuri",0,FALSE,FALSE,NA,NA
"1256","@SuryahSG they can't...all animals that were shown to be killed in #Bahubali are computer generated. That's why ""CGI"" icon appears on screen",FALSE,1,"SuryahSG",2015-07-25 20:22:44,FALSE,"625015018875064320","625038496424595457","46427326","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s_duvvuri",0,FALSE,FALSE,NA,NA
"1257","Looking forward to see #Bahubali soon! The hype created has really raised expectations.",FALSE,0,NA,2015-07-25 20:19:39,FALSE,NA,"625037719031287808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manvir_anand",0,FALSE,FALSE,NA,NA
"1258","Bahubali has many lessons to be learned for Entrepreneurs on planning, team management etc etc... #Bahubali #RandomThoughts",FALSE,1,NA,2015-07-25 20:15:49,FALSE,NA,"625036755821924352",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","iArunraj",0,FALSE,FALSE,NA,NA
"1259","Sir @ssrajamouli u Have a new fan! Just watched #Bahubali EPIC would be an understatement! You have put Indian Cinema on the world map!!",FALSE,238,NA,2015-07-25 20:11:41,FALSE,NA,"625035714372071424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRajKundra",152,FALSE,FALSE,NA,NA
"1260","Finally got chance to watch #Bahubali, I must say it is the most #Epic movie of #Indian Cinema ever produced. #Prabhas's acting was superb.",FALSE,12,NA,2015-07-25 20:11:10,FALSE,NA,"625035584528986112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundeeppjaiswal",7,FALSE,FALSE,NA,NA
"1261","I wannna watch #Bahubali Ì†ΩÌ∏µÌ†ΩÌ∏µ",FALSE,0,NA,2015-07-25 20:09:01,FALSE,NA,"625035044252299264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sam_nfs",0,FALSE,FALSE,NA,NA
"1262","#newfriends #officebuddy #funday #bahubali #katappa @ Abhiruchi City Pride https://t.co/78DsMFHMFb",FALSE,0,NA,2015-07-25 20:03:09,FALSE,NA,"625033567412879360",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Being_mG",0,FALSE,FALSE,"73.81707253","18.46367903"
