"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1187","#Bahubali has been appreciated by most(that includes critics).if @annavetticad doesn't agree,let her be entitled to her opinion.Move on,no?",FALSE,2,NA,2015-07-19 12:05:18,FALSE,NA,"622738983794159616",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","TweeterHimachal",0,FALSE,FALSE,NA,NA
"1188","Will Bahubali be nominated for an Oscar? #Bahubali #ssrajamouli @RanaDaggubati @ssrajamouli #Bahubalistorm",FALSE,1,NA,2015-07-19 12:04:17,FALSE,NA,"622738730055380992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pshivarama",1,FALSE,FALSE,NA,NA
"1189","#AmirKhan,team #PK should understand that its possible to make a highest grosser without disrespecting Bhagwan SHIV,good work team #Bahubali",FALSE,1,NA,2015-07-19 12:03:55,FALSE,NA,"622738638409854976",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cartooncorner",1,FALSE,FALSE,NA,NA
"1190","#Bahubali features one of the longest scenes of romanticised symbolic violation ever seen on screen. http://t.co/QnmBCC6K83",FALSE,0,NA,2015-07-19 12:03:07,FALSE,NA,"622738434486996992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abhi_sabyasachi",0,FALSE,FALSE,NA,NA
"1191","I'm trending #BahubaliHits300cr. Are you with me??  #Baahubali #Bahubali",FALSE,3,NA,2015-07-19 12:01:39,FALSE,NA,"622738067795775488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","That1Forker",1,FALSE,FALSE,NA,NA
"1192","Finally watched #Bahubali.It's a master piece of Indian Cinema.",FALSE,0,NA,2015-07-19 12:00:57,FALSE,NA,"622737889571401728",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","vikas_489",0,FALSE,FALSE,NA,NA
"1193","@writerramsarma @madhurasreedhar May be #bahubali screens are very less when compared to #BajrangiBhaijaan in Mumbai",FALSE,0,"writerramsarma",2015-07-19 12:00:57,FALSE,"622726896132829184","622737889168764928","2928711343","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naveen_lyrics",0,FALSE,FALSE,NA,NA
"1194","#Bahubali broke Guinness &amp; Limca Book of World Records with a poster of 50,000 sq ft. http://t.co/227YgFpUqX",FALSE,30,NA,2015-07-19 11:58:25,FALSE,NA,"622737250468544512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","iHardikBhatt",32,FALSE,FALSE,NA,NA
"1195","#Bahubali An amazing movie!!!! Cant wait for the second part!!",FALSE,0,NA,2015-07-19 11:57:48,FALSE,NA,"622737098416623616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pranavi17",0,FALSE,FALSE,NA,NA
"1196","Photoshop level #Bahubali Ì†ΩÌ∏Ç http://t.co/DaqViHG7Y3",FALSE,1,NA,2015-07-19 11:57:31,FALSE,NA,"622737025221791744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thakurology",0,FALSE,FALSE,NA,NA
"1197","MOST SHOCKING BRIDGE IN FLOOD DISASTER 2015 NEW......
https://t.co/FYyIR4HcdY
 Cristiano Ronaldo
#LouisAppreciationDay
#Bahubali",FALSE,0,NA,2015-07-19 11:57:27,FALSE,NA,"622737008562057216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","naughtysonakshi",0,FALSE,FALSE,NA,NA
"1198","@RanaDaggubati #Bahubali What an awesome and magical movie!! Really a benchmark for Indian cinema :)",FALSE,1,"RanaDaggubati",2015-07-19 11:56:45,FALSE,NA,"622736832644562944","111871312","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArunaWadhwani",0,FALSE,FALSE,NA,NA
"1199","#bahubali 's grandiosity is breathtaking, i am in awe. But it's blatant sexism made me cringe in my seat!",FALSE,0,NA,2015-07-19 11:55:20,FALSE,NA,"622736475570876418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UvDimple",0,FALSE,FALSE,NA,NA
"1200","Just watched #Bahubali
What an incredible film
#Bahubali like films are also made in #India
Credits to director &amp; @karanjohar
HATSOFF!!",FALSE,1,NA,2015-07-19 11:55:14,FALSE,NA,"622736450153373696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","bhaveshpatil77",0,FALSE,FALSE,NA,NA
"1201","@Vnilesh89 are you talking about #shivagami. Then watch #bahubali again. If about #avanthika, change ur perception. @ssrajamouli.",FALSE,0,"Vnilesh89",2015-07-19 11:55:06,FALSE,"622726054440910848","622736419237146625","617411905","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeYesPi",0,FALSE,FALSE,NA,NA
